"siteID","file_id","variant","sample_n","q","M","M_prime","qHt","qEt","qDT","qDTM"
"KONA","KONA_1","BrightVectorNorm",427,1,0.3501,0.351,141083.3638,0.8808,376.111,132.691
"KONA","KONA_1","BrightVectorNorm",427,2,0.3501,0.351,122625.9194,0.8213,350.6802,123.7867
"KONA","KONA_2","Raw",427,0,0.358,0.3589,181656,0.9993,426.7115,153.7728
"KONA","KONA_2","Raw",427,1,0.358,0.3589,160943.9033,0.9407,401.6785,144.8104
"KONA","KONA_2","Raw",427,2,0.358,0.3589,147967.4716,0.902,385.1657,138.8985
"KONA","KONA_2","BrightnessNorm",427,0,0.415,0.416,181656,0.9993,426.7115,178.0904
"KONA","KONA_2","BrightnessNorm",427,1,0.415,0.416,157538.814,0.9307,397.4119,165.9307
"KONA","KONA_2","BrightnessNorm",427,2,0.415,0.416,143516.9429,0.8884,379.3366,158.4293
"KONA","KONA_2","VectorNorm",427,0,0.415,0.416,181656,0.9993,426.7115,178.0904
"KONA","KONA_2","VectorNorm",427,1,0.415,0.416,157538.814,0.9307,397.4119,165.9307
"KONA","KONA_2","VectorNorm",427,2,0.415,0.416,143516.9429,0.8884,379.3366,158.4293
"KONA","KONA_2","BrightVectorNorm",427,0,0.415,0.416,181656,0.9993,426.7115,178.0904
"KONA","KONA_2","BrightVectorNorm",427,1,0.415,0.416,157538.814,0.9307,397.4119,165.9307
